check_item,status,evidence_file,note
data_source_uniqueness,PASS,outputs/us_stock_selection/formal_mve2_audit_metadata_reconciliation_p2b2_20260507_161429/evidence_chain_impact_assessment.csv,Only audited store plus limited MVE2 evidence is used.
audited_store_readability,PASS,outputs/us_stock_selection/formal_mve2_audit_metadata_reconciliation_p2b2_20260507_161429/parquet_readability_summary.csv,51/51 price parquet files are readable.
core_fields_present,PASS,outputs/us_stock_selection/formal_mve2_data_quality_gate_20260507_142224/field_coverage_summary.csv,date/ticker/adj_close/volume present for 51/51.
universe_fixed,PASS,outputs/us_stock_selection/formal_mve2_data_quality_gate_20260507_142224/universe_summary.csv,Universe count and price files align at 51.
eligible_excluded_reproducible,PASS,outputs/us_stock_selection/limited_mve2_20260502_142702,Eligible/excluded source files are present.
time_coverage,PASS,outputs/us_stock_selection/formal_mve2_data_quality_gate_20260507_142224/date_coverage_summary.csv,Eligible tickers cover the limited MVE2 common window.
volume_risk_flagged,WARN_ACCEPTED,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/volume_exception_detail.csv,Six tickers carry accepted volume flags.
price_jump_risk_flagged,WARN_ACCEPTED,outputs/us_stock_selection/formal_mve2_data_quality_gate_p2b_exceptions_20260507_151856/price_jump_detail.csv,Seven tickers carry accepted jump flags.
audit_metadata_reconciled,PASS,outputs/us_stock_selection/formal_mve2_audit_metadata_reconciliation_p2b2_20260507_161429/reconciliation_decision.json,Stale audit metadata is reconciled for P2-C.
formal_v9_not_used,PASS,outputs/us_stock_selection/formal_mve2_audit_metadata_reconciliation_p2b2_20260507_161429/manifest.json,formal v9 output is excluded.
v82_not_used_as_data_source,PASS,outputs/us_stock_selection/formal_mve2_audit_metadata_reconciliation_p2b2_20260507_161429/manifest.json,v8.2 baseline output is excluded as a data source.
old_qlib_old_v8_cache_not_used,PASS,outputs/us_stock_selection/formal_mve2_audit_metadata_reconciliation_p2b2_20260507_161429/manifest.json,Old qlib and old v8 cache are excluded.
group4_not_used,PASS,outputs/us_stock_selection/formal_mve2_audit_metadata_reconciliation_p2b2_20260507_161429/reproducibility_checklist.csv,group4 is not an input.
outputs_reproducible,PASS,outputs/us_stock_selection/formal_mve2_audit_metadata_reconciliation_p2b2_20260507_161429/manifest.json,P2-A/P2-B/P2-B2 outputs have manifests and review packs.
unresolved_blockers,PASS,unresolved_blockers.csv,No unresolved blockers remain.
residual_warnings,WARN_ACCEPTED,residual_warnings.csv,13 residual warning instances are accepted as flags for P3 design.
